timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/12 22:34:36.549, 12 %, 1631 MiB, 44.81 W
2026/08/12 22:34:37.550, 25 %, 1631 MiB, 41.44 W
2026/08/12 22:34:38.552, 20 %, 1631 MiB, 29.16 W
2026/08/12 22:34:39.552, 39 %, 1638 MiB, 26.25 W
2026/08/12 22:34:40.556, 23 %, 1638 MiB, 23.80 W
2026/08/12 22:34:41.558, 28 %, 1638 MiB, 23.72 W
2026/08/12 22:34:42.563, 35 %, 1638 MiB, 23.06 W
2026/08/12 22:34:43.568, 48 %, 1638 MiB, 23.33 W
2026/08/12 22:34:44.570, 29 %, 1637 MiB, 23.96 W
2026/08/12 22:34:45.574, 47 %, 1630 MiB, 24.21 W
2026/08/12 22:34:46.576, 32 %, 1630 MiB, 24.17 W
2026/08/12 22:34:47.577, 35 %, 1630 MiB, 24.23 W
2026/08/12 22:34:48.578, 39 %, 1630 MiB, 24.30 W
2026/08/12 22:34:49.578, 23 %, 1630 MiB, 23.94 W
2026/08/12 22:34:50.580, 32 %, 1630 MiB, 23.78 W
2026/08/12 22:34:51.584, 41 %, 1634 MiB, 23.68 W
2026/08/12 22:34:52.584, 33 %, 1634 MiB, 23.75 W
2026/08/12 22:34:53.586, 33 %, 1634 MiB, 23.82 W
2026/08/12 22:34:54.588, 80 %, 1634 MiB, 23.74 W
2026/08/12 22:34:55.589, 42 %, 1633 MiB, 24.06 W
2026/08/12 22:34:56.591, 39 %, 1633 MiB, 24.45 W
2026/08/12 22:34:57.591, 32 %, 1632 MiB, 24.08 W
2026/08/12 22:34:58.592, 38 %, 1631 MiB, 24.23 W
2026/08/12 22:34:59.594, 34 %, 1631 MiB, 24.12 W
2026/08/12 22:35:00.595, 36 %, 1631 MiB, 24.18 W
2026/08/12 22:35:01.599, 31 %, 1631 MiB, 23.91 W
2026/08/12 22:35:02.600, 32 %, 1631 MiB, 23.94 W
2026/08/12 22:35:03.603, 36 %, 1631 MiB, 23.76 W
2026/08/12 22:35:04.608, 31 %, 1631 MiB, 23.80 W
2026/08/12 22:35:05.612, 94 %, 1631 MiB, 23.81 W
2026/08/12 22:35:06.614, 10 %, 1631 MiB, 42.43 W
2026/08/12 22:35:07.618, 23 %, 1631 MiB, 42.14 W
2026/08/12 22:35:08.620, 27 %, 1631 MiB, 30.22 W
2026/08/12 22:35:09.620, 26 %, 1631 MiB, 30.22 W
2026/08/12 22:35:10.626, 43 %, 1628 MiB, 25.12 W
2026/08/12 22:35:11.627, 35 %, 1628 MiB, 24.45 W
2026/08/12 22:35:12.631, 33 %, 1628 MiB, 24.25 W
2026/08/12 22:35:13.634, 35 %, 1631 MiB, 24.17 W
2026/08/12 22:35:14.637, 43 %, 1631 MiB, 24.25 W
2026/08/12 22:35:15.639, 35 %, 1631 MiB, 24.50 W
2026/08/12 22:35:16.640, 6 %, 1631 MiB, 24.02 W
2026/08/12 22:35:17.641, 20 %, 1631 MiB, 23.13 W
2026/08/12 22:35:18.642, 25 %, 1632 MiB, 22.45 W
2026/08/12 22:35:19.643, 32 %, 1632 MiB, 22.25 W
2026/08/12 22:35:20.644, 18 %, 1505 MiB, 22.30 W
2026/08/12 22:35:21.645, 26 %, 1505 MiB, 22.19 W
2026/08/12 22:35:22.646, 29 %, 1505 MiB, 21.85 W
2026/08/12 22:35:23.647, 29 %, 1504 MiB, 21.82 W
2026/08/12 22:35:24.651, 25 %, 1504 MiB, 21.91 W
2026/08/12 22:35:25.652, 29 %, 1499 MiB, 21.85 W
2026/08/12 22:35:26.653, 28 %, 1497 MiB, 21.92 W
