timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/12 22:39:44.827, 13 %, 1497 MiB, 22.15 W
2026/08/12 22:39:45.836, 16 %, 1499 MiB, 21.20 W
2026/08/12 22:39:46.852, 13 %, 1499 MiB, 21.47 W
2026/08/12 22:39:47.855, 31 %, 1499 MiB, 21.57 W
2026/08/12 22:39:48.867, 30 %, 1494 MiB, 21.74 W
2026/08/12 22:39:49.879, 17 %, 1494 MiB, 21.64 W
2026/08/12 22:39:50.902, 29 %, 1494 MiB, 21.67 W
2026/08/12 22:39:51.917, 23 %, 1494 MiB, 21.86 W
2026/08/12 22:39:52.928, 30 %, 1494 MiB, 22.00 W
2026/08/12 22:39:53.934, 24 %, 1494 MiB, 22.03 W
2026/08/12 22:39:54.975, 29 %, 1501 MiB, 21.59 W
2026/08/12 22:39:56.002, 39 %, 1504 MiB, 21.57 W
2026/08/12 22:39:57.032, 21 %, 1504 MiB, 21.53 W
2026/08/12 22:39:58.045, 47 %, 1503 MiB, 21.87 W
2026/08/12 22:39:59.057, 36 %, 1507 MiB, 22.08 W
2026/08/12 22:40:00.081, 28 %, 1506 MiB, 21.83 W
2026/08/12 22:40:01.103, 27 %, 1504 MiB, 21.64 W
2026/08/12 22:40:02.130, 20 %, 1503 MiB, 21.27 W
2026/08/12 22:40:03.134, 20 %, 1503 MiB, 21.20 W
2026/08/12 22:40:04.152, 22 %, 1491 MiB, 21.60 W
2026/08/12 22:40:05.159, 22 %, 1490 MiB, 21.15 W
2026/08/12 22:40:06.166, 20 %, 1490 MiB, 21.57 W
2026/08/12 22:40:07.176, 23 %, 1490 MiB, 21.60 W
2026/08/12 22:40:08.181, 46 %, 1490 MiB, 21.77 W
2026/08/12 22:40:09.181, 35 %, 1490 MiB, 22.63 W
2026/08/12 22:40:10.187, 36 %, 1490 MiB, 22.59 W
2026/08/12 22:40:11.187, 39 %, 1490 MiB, 22.61 W
2026/08/12 22:40:12.189, 38 %, 1490 MiB, 22.58 W
2026/08/12 22:40:13.190, 38 %, 1489 MiB, 22.74 W
2026/08/12 22:40:14.195, 38 %, 1489 MiB, 22.76 W
2026/08/12 22:40:15.206, 41 %, 1499 MiB, 22.93 W
2026/08/12 22:40:16.210, 22 %, 1499 MiB, 21.99 W
2026/08/12 22:40:17.217, 27 %, 1499 MiB, 21.90 W
2026/08/12 22:40:18.225, 33 %, 1505 MiB, 22.19 W
2026/08/12 22:40:19.242, 11 %, 1502 MiB, 23.35 W
2026/08/12 22:40:20.253, 12 %, 1495 MiB, 22.08 W
2026/08/12 22:40:21.259, 39 %, 1495 MiB, 23.16 W
2026/08/12 22:40:22.261, 6 %, 1506 MiB, 44.19 W
2026/08/12 22:40:23.270, 2 %, 1509 MiB, 45.00 W
2026/08/12 22:40:24.294, 7 %, 1503 MiB, 44.87 W
2026/08/12 22:40:25.307, 4 %, 1507 MiB, 42.75 W
2026/08/12 22:40:26.316, 15 %, 1507 MiB, 24.67 W
2026/08/12 22:40:27.332, 21 %, 1507 MiB, 23.25 W
2026/08/12 22:40:28.350, 16 %, 1507 MiB, 23.12 W
2026/08/12 22:40:29.359, 36 %, 1507 MiB, 22.64 W
2026/08/12 22:40:30.372, 32 %, 1507 MiB, 22.26 W
2026/08/12 22:40:31.380, 32 %, 1507 MiB, 21.93 W
2026/08/12 22:40:32.397, 32 %, 1507 MiB, 21.96 W
2026/08/12 22:40:33.410, 33 %, 1507 MiB, 21.82 W
2026/08/12 22:40:34.424, 24 %, 1507 MiB, 21.90 W
2026/08/12 22:40:35.437, 29 %, 1507 MiB, 21.86 W
2026/08/12 22:40:36.443, 36 %, 1507 MiB, 21.99 W
2026/08/12 22:40:37.452, 29 %, 1507 MiB, 22.21 W
2026/08/12 22:40:38.464, 38 %, 1507 MiB, 22.12 W
2026/08/12 22:40:39.470, 25 %, 1507 MiB, 22.02 W
2026/08/12 22:40:40.475, 32 %, 1507 MiB, 21.94 W
2026/08/12 22:40:41.476, 29 %, 1483 MiB, 21.80 W
2026/08/12 22:40:42.482, 10 %, 1495 MiB, 38.58 W
2026/08/12 22:40:43.487, 3 %, 1489 MiB, 44.34 W
2026/08/12 22:40:44.488, 3 %, 1486 MiB, 44.55 W
2026/08/12 22:40:45.489, 13 %, 1486 MiB, 41.91 W
2026/08/12 22:40:46.490, 14 %, 1487 MiB, 23.69 W
2026/08/12 22:40:47.491, 14 %, 1487 MiB, 23.59 W
2026/08/12 22:40:48.491, 41 %, 1488 MiB, 22.99 W
2026/08/12 22:40:49.503, 31 %, 1583 MiB, 23.00 W
2026/08/12 22:40:50.506, 17 %, 1622 MiB, 35.35 W
2026/08/12 22:40:51.508, 13 %, 1622 MiB, 46.12 W
2026/08/12 22:40:52.512, 11 %, 1622 MiB, 46.02 W
2026/08/12 22:40:53.517, 11 %, 1621 MiB, 46.11 W
2026/08/12 22:40:54.519, 10 %, 1617 MiB, 46.19 W
2026/08/12 22:40:55.519, 8 %, 1617 MiB, 45.79 W
2026/08/12 22:40:56.521, 27 %, 1613 MiB, 43.35 W
2026/08/12 22:40:57.525, 21 %, 1610 MiB, 29.06 W
2026/08/12 22:40:58.527, 37 %, 1610 MiB, 27.48 W
2026/08/12 22:40:59.528, 42 %, 1610 MiB, 24.69 W
2026/08/12 22:41:00.534, 31 %, 1610 MiB, 24.70 W
2026/08/12 22:41:01.541, 30 %, 1610 MiB, 24.34 W
2026/08/12 22:41:02.544, 39 %, 1610 MiB, 24.12 W
2026/08/12 22:41:03.548, 43 %, 1610 MiB, 24.48 W
2026/08/12 22:41:04.550, 20 %, 1610 MiB, 30.28 W
2026/08/12 22:41:05.554, 42 %, 1610 MiB, 29.85 W
2026/08/12 22:41:06.556, 27 %, 1610 MiB, 24.42 W
2026/08/12 22:41:07.557, 39 %, 1610 MiB, 24.47 W
2026/08/12 22:41:08.558, 40 %, 1610 MiB, 24.61 W
2026/08/12 22:41:09.562, 30 %, 1610 MiB, 24.65 W
2026/08/12 22:41:10.568, 23 %, 1610 MiB, 25.67 W
2026/08/12 22:41:11.569, 23 %, 1610 MiB, 30.87 W
2026/08/12 22:41:12.578, 26 %, 1610 MiB, 28.35 W
2026/08/12 22:41:13.579, 46 %, 1610 MiB, 24.32 W
2026/08/12 22:41:14.581, 39 %, 1610 MiB, 24.53 W
2026/08/12 22:41:15.584, 32 %, 1610 MiB, 24.62 W
2026/08/12 22:41:16.586, 35 %, 1610 MiB, 24.30 W
2026/08/12 22:41:17.587, 29 %, 1610 MiB, 24.10 W
2026/08/12 22:41:18.588, 44 %, 1610 MiB, 24.31 W
2026/08/12 22:41:19.589, 20 %, 1610 MiB, 30.25 W
2026/08/12 22:41:20.591, 30 %, 1610 MiB, 29.95 W
2026/08/12 22:41:21.592, 29 %, 1610 MiB, 24.36 W
2026/08/12 22:41:22.593, 43 %, 1610 MiB, 24.51 W
2026/08/12 22:41:23.597, 27 %, 1610 MiB, 24.60 W
2026/08/12 22:41:24.599, 28 %, 1610 MiB, 24.24 W
2026/08/12 22:41:25.600, 39 %, 1610 MiB, 24.39 W
2026/08/12 22:41:26.601, 40 %, 1610 MiB, 24.35 W
2026/08/12 22:41:27.606, 21 %, 1610 MiB, 26.78 W
2026/08/12 22:41:28.611, 27 %, 1610 MiB, 31.02 W
2026/08/12 22:41:29.612, 41 %, 1610 MiB, 27.42 W
2026/08/12 22:41:30.616, 39 %, 1610 MiB, 24.57 W
2026/08/12 22:41:31.619, 24 %, 1610 MiB, 29.12 W
2026/08/12 22:41:32.620, 18 %, 1616 MiB, 30.88 W
2026/08/12 22:41:33.624, 40 %, 1619 MiB, 25.20 W
2026/08/12 22:41:34.625, 35 %, 1619 MiB, 24.63 W
2026/08/12 22:41:35.626, 34 %, 1621 MiB, 24.78 W
2026/08/12 22:41:36.631, 50 %, 1621 MiB, 24.47 W
2026/08/12 22:41:37.634, 36 %, 1614 MiB, 24.54 W
2026/08/12 22:41:38.635, 15 %, 1614 MiB, 22.99 W
2026/08/12 22:41:39.637, 19 %, 1619 MiB, 23.35 W
2026/08/12 22:41:40.638, 17 %, 1618 MiB, 23.57 W
2026/08/12 22:41:41.642, 12 %, 1624 MiB, 23.20 W
2026/08/12 22:41:42.646, 11 %, 1493 MiB, 23.49 W
2026/08/12 22:41:43.657, 35 %, 1493 MiB, 23.34 W
2026/08/12 22:41:44.658, 2 %, 1493 MiB, 31.23 W
2026/08/12 22:41:45.805, 3 %, 1489 MiB, 45.01 W
2026/08/12 22:41:46.866, 2 %, 1486 MiB, 44.92 W
2026/08/12 22:41:47.920, 2 %, 1485 MiB, 44.38 W
2026/08/12 22:41:48.995, 7 %, 1486 MiB, 33.35 W
2026/08/12 22:41:50.077, 10 %, 1483 MiB, 23.54 W
2026/08/12 22:41:51.161, 19 %, 1479 MiB, 26.50 W
2026/08/12 22:41:52.233, 2 %, 1479 MiB, 44.44 W
2026/08/12 22:41:53.308, 2 %, 1479 MiB, 44.69 W
2026/08/12 22:41:54.454, 6 %, 1488 MiB, 45.19 W
2026/08/12 22:41:55.575, 3 %, 1489 MiB, 40.88 W
2026/08/12 22:41:56.724, 12 %, 1494 MiB, 22.66 W
2026/08/12 22:41:57.847, 25 %, 1495 MiB, 22.53 W
2026/08/12 22:41:58.967, 35 %, 1490 MiB, 22.46 W
2026/08/12 22:42:00.051, 2 %, 1490 MiB, 29.10 W
2026/08/12 22:42:01.129, 3 %, 1490 MiB, 44.47 W
2026/08/12 22:42:02.197, 3 %, 1482 MiB, 44.61 W
2026/08/12 22:42:03.211, 11 %, 1480 MiB, 40.81 W
2026/08/12 22:42:04.216, 19 %, 1482 MiB, 23.78 W
2026/08/12 22:42:05.227, 16 %, 1482 MiB, 23.68 W
2026/08/12 22:42:06.228, 41 %, 1482 MiB, 23.32 W
2026/08/12 22:42:07.233, 44 %, 1477 MiB, 22.86 W
2026/08/12 22:42:08.235, 22 %, 1477 MiB, 22.79 W
2026/08/12 22:42:09.240, 14 %, 1476 MiB, 23.46 W
2026/08/12 22:42:10.245, 42 %, 1474 MiB, 23.47 W
2026/08/12 22:42:11.246, 34 %, 1474 MiB, 23.26 W
2026/08/12 22:42:12.247, 32 %, 1476 MiB, 24.24 W
2026/08/12 22:42:13.249, 15 %, 1476 MiB, 24.28 W
2026/08/12 22:42:14.257, 16 %, 1477 MiB, 24.35 W
2026/08/12 22:42:15.322, 5 %, 1474 MiB, 43.60 W
2026/08/12 22:42:16.386, 4 %, 1474 MiB, 45.16 W
2026/08/12 22:42:17.433, 2 %, 1474 MiB, 44.68 W
2026/08/12 22:42:18.535, 14 %, 1474 MiB, 40.95 W
2026/08/12 22:42:19.609, 19 %, 1474 MiB, 24.07 W
2026/08/12 22:42:20.668, 12 %, 1474 MiB, 23.32 W
2026/08/12 22:42:21.745, 19 %, 1474 MiB, 23.23 W
2026/08/12 22:42:22.821, 4 %, 1474 MiB, 30.07 W
2026/08/12 22:42:23.890, 11 %, 1474 MiB, 45.40 W
2026/08/12 22:42:24.960, 13 %, 1474 MiB, 45.72 W
2026/08/12 22:42:26.028, 14 %, 1474 MiB, 45.79 W
2026/08/12 22:42:27.091, 26 %, 1474 MiB, 34.69 W
2026/08/12 22:42:28.156, 35 %, 1474 MiB, 26.92 W
2026/08/12 22:42:29.216, 36 %, 1474 MiB, 24.73 W
2026/08/12 22:42:30.265, 39 %, 1474 MiB, 24.85 W
2026/08/12 22:42:31.337, 37 %, 1474 MiB, 24.68 W
2026/08/12 22:42:32.384, 37 %, 1474 MiB, 24.68 W
2026/08/12 22:42:33.406, 36 %, 1474 MiB, 24.61 W
2026/08/12 22:42:34.416, 35 %, 1474 MiB, 24.67 W
2026/08/12 22:42:35.418, 36 %, 1474 MiB, 24.68 W
2026/08/12 22:42:36.430, 40 %, 1474 MiB, 24.64 W
2026/08/12 22:42:37.439, 36 %, 1474 MiB, 24.79 W
2026/08/12 22:42:38.446, 15 %, 1474 MiB, 24.10 W
2026/08/12 22:42:39.450, 18 %, 1474 MiB, 22.37 W
2026/08/12 22:42:40.451, 18 %, 1474 MiB, 22.39 W
2026/08/12 22:42:41.452, 36 %, 1484 MiB, 23.27 W
2026/08/12 22:42:42.466, 19 %, 1479 MiB, 23.71 W
2026/08/12 22:42:43.474, 19 %, 1477 MiB, 23.46 W
2026/08/12 22:42:44.475, 40 %, 1477 MiB, 23.12 W
2026/08/12 22:42:45.476, 32 %, 1477 MiB, 22.75 W
2026/08/12 22:42:46.482, 30 %, 1472 MiB, 22.50 W
2026/08/12 22:42:47.586, 15 %, 1466 MiB, 22.20 W
2026/08/12 22:42:48.587, 43 %, 1467 MiB, 22.03 W
2026/08/12 22:42:49.589, 6 %, 1600 MiB, 31.29 W
2026/08/12 22:42:50.589, 11 %, 1600 MiB, 47.01 W
2026/08/12 22:42:51.591, 9 %, 1600 MiB, 47.17 W
2026/08/12 22:42:52.592, 5 %, 1600 MiB, 46.24 W
2026/08/12 22:42:53.593, 9 %, 1604 MiB, 46.68 W
2026/08/12 22:42:54.594, 10 %, 1609 MiB, 47.43 W
2026/08/12 22:42:55.595, 19 %, 1609 MiB, 44.08 W
2026/08/12 22:42:56.600, 38 %, 1609 MiB, 28.27 W
2026/08/12 22:42:57.601, 28 %, 1608 MiB, 23.87 W
2026/08/12 22:42:58.602, 35 %, 1608 MiB, 23.55 W
2026/08/12 22:42:59.603, 39 %, 1596 MiB, 24.08 W
2026/08/12 22:43:00.604, 44 %, 1596 MiB, 24.07 W
2026/08/12 22:43:01.609, 39 %, 1596 MiB, 24.08 W
2026/08/12 22:43:02.610, 35 %, 1598 MiB, 23.83 W
2026/08/12 22:43:03.611, 40 %, 1598 MiB, 23.53 W
2026/08/12 22:43:04.612, 42 %, 1598 MiB, 23.86 W
2026/08/12 22:43:05.613, 37 %, 1598 MiB, 23.53 W
2026/08/12 22:43:06.614, 26 %, 1598 MiB, 23.06 W
2026/08/12 22:43:07.615, 3 %, 1598 MiB, 27.07 W
2026/08/12 22:43:08.625, 7 %, 1598 MiB, 45.13 W
2026/08/12 22:43:09.625, 2 %, 1606 MiB, 45.01 W
2026/08/12 22:43:10.627, 19 %, 1606 MiB, 41.13 W
2026/08/12 22:43:11.628, 18 %, 1606 MiB, 23.47 W
2026/08/12 22:43:12.629, 19 %, 1605 MiB, 22.21 W
2026/08/12 22:43:13.634, 41 %, 1605 MiB, 22.30 W
2026/08/12 22:43:14.635, 44 %, 1605 MiB, 22.49 W
2026/08/12 22:43:15.636, 40 %, 1474 MiB, 22.32 W
2026/08/12 22:43:16.637, 45 %, 1478 MiB, 22.56 W
2026/08/12 22:43:17.638, 35 %, 1478 MiB, 22.30 W
2026/08/12 22:43:18.638, 35 %, 1477 MiB, 22.09 W
2026/08/12 22:43:19.640, 32 %, 1477 MiB, 22.04 W
2026/08/12 22:43:20.642, 16 %, 1476 MiB, 21.93 W
2026/08/12 22:43:21.646, 39 %, 1469 MiB, 22.25 W
2026/08/12 22:43:22.646, 24 %, 1469 MiB, 22.36 W
2026/08/12 22:43:23.649, 25 %, 1471 MiB, 22.11 W
2026/08/12 22:43:24.651, 43 %, 1471 MiB, 22.18 W
2026/08/12 22:43:25.652, 1 %, 1471 MiB, 33.13 W
2026/08/12 22:43:26.656, 2 %, 1473 MiB, 43.28 W
2026/08/12 22:43:27.659, 2 %, 1479 MiB, 43.15 W
2026/08/12 22:43:28.666, 2 %, 1479 MiB, 43.13 W
2026/08/12 22:43:29.667, 17 %, 1477 MiB, 31.09 W
2026/08/12 22:43:30.670, 9 %, 1477 MiB, 23.32 W
2026/08/12 22:43:31.673, 14 %, 1477 MiB, 23.10 W
2026/08/12 22:43:32.674, 28 %, 1476 MiB, 22.53 W
2026/08/12 22:43:33.675, 8 %, 1476 MiB, 22.20 W
2026/08/12 22:43:34.676, 34 %, 1477 MiB, 22.14 W
2026/08/12 22:43:35.677, 36 %, 1466 MiB, 21.63 W
2026/08/12 22:43:36.683, 37 %, 1465 MiB, 21.58 W
2026/08/12 22:43:37.684, 9 %, 1586 MiB, 39.10 W
2026/08/12 22:43:38.688, 2 %, 1587 MiB, 43.12 W
2026/08/12 22:43:39.690, 2 %, 1553 MiB, 43.03 W
2026/08/12 22:43:40.691, 19 %, 1553 MiB, 31.58 W
2026/08/12 22:43:41.691, 43 %, 1565 MiB, 23.68 W
2026/08/12 22:43:42.701, 20 %, 1570 MiB, 23.14 W
2026/08/12 22:43:43.702, 42 %, 1565 MiB, 22.41 W
2026/08/12 22:43:44.703, 41 %, 1565 MiB, 22.38 W
2026/08/12 22:43:45.704, 39 %, 1560 MiB, 22.28 W
2026/08/12 22:43:46.705, 2 %, 1561 MiB, 36.61 W
2026/08/12 22:43:47.706, 2 %, 1561 MiB, 43.25 W
2026/08/12 22:43:48.707, 1 %, 1561 MiB, 43.19 W
2026/08/12 22:43:49.712, 23 %, 1546 MiB, 31.50 W
2026/08/12 22:43:50.713, 11 %, 1555 MiB, 23.62 W
2026/08/12 22:43:51.714, 32 %, 1551 MiB, 23.56 W
2026/08/12 22:43:52.718, 38 %, 1551 MiB, 23.37 W
2026/08/12 22:43:53.729, 7 %, 1542 MiB, 33.76 W
2026/08/12 22:43:54.730, 7 %, 1542 MiB, 43.67 W
2026/08/12 22:43:55.731, 7 %, 1537 MiB, 43.74 W
2026/08/12 22:43:56.731, 2 %, 1539 MiB, 43.41 W
2026/08/12 22:43:57.744, 6 %, 1539 MiB, 31.33 W
2026/08/12 22:43:58.756, 17 %, 1545 MiB, 23.52 W
2026/08/12 22:43:59.760, 12 %, 1545 MiB, 23.54 W
2026/08/12 22:44:00.761, 26 %, 1541 MiB, 23.30 W
2026/08/12 22:44:01.762, 2 %, 1541 MiB, 26.75 W
2026/08/12 22:44:02.763, 1 %, 1541 MiB, 43.24 W
2026/08/12 22:44:03.764, 2 %, 1541 MiB, 43.43 W
2026/08/12 22:44:04.766, 9 %, 1541 MiB, 44.10 W
2026/08/12 22:44:05.770, 17 %, 1541 MiB, 31.74 W
2026/08/12 22:44:06.775, 8 %, 1539 MiB, 23.48 W
2026/08/12 22:44:07.776, 15 %, 1538 MiB, 23.36 W
2026/08/12 22:44:08.778, 40 %, 1538 MiB, 22.94 W
2026/08/12 22:44:09.778, 39 %, 1538 MiB, 22.59 W
2026/08/12 22:44:10.787, 31 %, 1536 MiB, 22.57 W
2026/08/12 22:44:11.789, 41 %, 1536 MiB, 22.67 W
2026/08/12 22:44:12.790, 42 %, 1536 MiB, 22.35 W
2026/08/12 22:44:13.791, 14 %, 1534 MiB, 22.26 W
2026/08/12 22:44:14.792, 16 %, 1534 MiB, 21.63 W
2026/08/12 22:44:15.793, 39 %, 1530 MiB, 21.82 W
2026/08/12 22:44:16.794, 39 %, 1530 MiB, 21.84 W
2026/08/12 22:44:17.795, 48 %, 1530 MiB, 21.96 W
2026/08/12 22:44:18.800, 38 %, 1530 MiB, 22.01 W
2026/08/12 22:44:19.801, 38 %, 1530 MiB, 21.98 W
2026/08/12 22:44:20.802, 38 %, 1530 MiB, 21.91 W
2026/08/12 22:44:21.803, 33 %, 1530 MiB, 21.92 W
2026/08/12 22:44:22.804, 7 %, 1530 MiB, 21.14 W
2026/08/12 22:44:23.809, 2 %, 1662 MiB, 29.28 W
2026/08/12 22:44:24.814, 3 %, 1662 MiB, 42.77 W
2026/08/12 22:44:25.816, 8 %, 1662 MiB, 43.78 W
2026/08/12 22:44:26.820, 10 %, 1662 MiB, 44.43 W
2026/08/12 22:44:27.821, 13 %, 1662 MiB, 45.15 W
2026/08/12 22:44:28.822, 11 %, 1662 MiB, 45.06 W
2026/08/12 22:44:29.827, 3 %, 1662 MiB, 44.03 W
2026/08/12 22:44:30.829, 31 %, 1662 MiB, 32.46 W
2026/08/12 22:44:31.834, 30 %, 1662 MiB, 24.34 W
2026/08/12 22:44:32.835, 34 %, 1662 MiB, 24.13 W
2026/08/12 22:44:33.835, 31 %, 1662 MiB, 24.01 W
2026/08/12 22:44:34.836, 25 %, 1662 MiB, 23.68 W
2026/08/12 22:44:35.837, 10 %, 1662 MiB, 36.61 W
2026/08/12 22:44:36.839, 9 %, 1662 MiB, 44.48 W
2026/08/12 22:44:37.844, 10 %, 1662 MiB, 44.57 W
2026/08/12 22:44:38.845, 34 %, 1662 MiB, 34.00 W
2026/08/12 22:44:39.850, 30 %, 1662 MiB, 23.60 W
2026/08/12 22:44:40.851, 36 %, 1662 MiB, 23.36 W
2026/08/12 22:44:41.853, 33 %, 1662 MiB, 23.37 W
2026/08/12 22:44:42.853, 33 %, 1662 MiB, 23.16 W
2026/08/12 22:44:43.859, 30 %, 1662 MiB, 23.06 W
2026/08/12 22:44:44.859, 85 %, 1666 MiB, 23.36 W
2026/08/12 22:44:45.861, 29 %, 1673 MiB, 23.00 W
2026/08/12 22:44:46.862, 36 %, 1673 MiB, 23.28 W
2026/08/12 22:44:47.863, 18 %, 1674 MiB, 22.96 W
2026/08/12 22:44:48.864, 18 %, 1673 MiB, 22.46 W
2026/08/12 22:44:49.865, 40 %, 1673 MiB, 22.20 W
2026/08/12 22:44:50.866, 23 %, 1669 MiB, 22.08 W
2026/08/12 22:44:51.867, 18 %, 1663 MiB, 22.33 W
2026/08/12 22:44:52.868, 41 %, 1660 MiB, 22.11 W
2026/08/12 22:44:53.869, 42 %, 1660 MiB, 21.85 W
2026/08/12 22:44:54.870, 42 %, 1660 MiB, 21.83 W
2026/08/12 22:44:55.871, 40 %, 1660 MiB, 21.77 W
2026/08/12 22:44:56.876, 38 %, 1528 MiB, 21.37 W
2026/08/12 22:44:57.877, 37 %, 1528 MiB, 21.10 W
2026/08/12 22:44:58.877, 38 %, 1528 MiB, 21.07 W
2026/08/12 22:44:59.879, 37 %, 1528 MiB, 21.08 W
2026/08/12 22:45:00.880, 38 %, 1528 MiB, 21.10 W
2026/08/12 22:45:01.885, 40 %, 1528 MiB, 21.01 W
2026/08/12 22:45:02.886, 35 %, 1530 MiB, 20.80 W
2026/08/12 22:45:03.887, 37 %, 1530 MiB, 21.20 W
2026/08/12 22:45:04.888, 37 %, 1530 MiB, 21.08 W
2026/08/12 22:45:05.889, 16 %, 1530 MiB, 21.02 W
2026/08/12 22:45:06.890, 16 %, 1530 MiB, 20.76 W
2026/08/12 22:45:07.891, 39 %, 1529 MiB, 20.91 W
2026/08/12 22:45:08.892, 39 %, 1529 MiB, 21.02 W
2026/08/12 22:45:09.893, 39 %, 1527 MiB, 21.11 W
2026/08/12 22:45:10.894, 38 %, 1527 MiB, 20.88 W
2026/08/12 22:45:11.895, 39 %, 1533 MiB, 21.11 W
2026/08/12 22:45:12.896, 38 %, 1534 MiB, 21.12 W
2026/08/12 22:45:13.897, 23 %, 1534 MiB, 20.48 W
2026/08/12 22:45:14.898, 23 %, 1534 MiB, 20.11 W
2026/08/12 22:45:15.901, 18 %, 1537 MiB, 20.18 W
2026/08/12 22:45:16.903, 22 %, 1532 MiB, 21.23 W
2026/08/12 22:45:17.905, 17 %, 1532 MiB, 20.49 W
2026/08/12 22:45:18.920, 18 %, 1532 MiB, 20.37 W
2026/08/12 22:45:19.921, 18 %, 1532 MiB, 21.12 W
2026/08/12 22:45:20.929, 16 %, 1532 MiB, 20.46 W
2026/08/12 22:45:21.931, 60 %, 1532 MiB, 21.04 W
2026/08/12 22:45:22.931, 10 %, 1532 MiB, 21.39 W
2026/08/12 22:45:23.936, 9 %, 1532 MiB, 21.04 W
2026/08/12 22:45:24.937, 39 %, 1533 MiB, 20.59 W
2026/08/12 22:45:25.938, 38 %, 1533 MiB, 21.16 W
2026/08/12 22:45:26.939, 40 %, 1533 MiB, 21.05 W
2026/08/12 22:45:27.940, 38 %, 1533 MiB, 21.16 W
2026/08/12 22:45:28.942, 39 %, 1529 MiB, 21.11 W
2026/08/12 22:45:29.942, 39 %, 1527 MiB, 21.12 W
2026/08/12 22:45:30.943, 39 %, 1527 MiB, 21.20 W
2026/08/12 22:45:31.944, 38 %, 1527 MiB, 21.22 W
2026/08/12 22:45:32.945, 40 %, 1527 MiB, 21.05 W
2026/08/12 22:45:33.946, 39 %, 1527 MiB, 21.11 W
2026/08/12 22:45:34.948, 41 %, 1527 MiB, 21.20 W
2026/08/12 22:45:35.949, 40 %, 1529 MiB, 21.01 W
2026/08/12 22:45:36.949, 14 %, 1658 MiB, 33.27 W
2026/08/12 22:45:37.950, 12 %, 1659 MiB, 44.96 W
2026/08/12 22:45:38.951, 10 %, 1659 MiB, 44.16 W
2026/08/12 22:45:39.952, 11 %, 1659 MiB, 44.64 W
2026/08/12 22:45:40.953, 10 %, 1659 MiB, 44.32 W
2026/08/12 22:45:41.954, 12 %, 1660 MiB, 44.37 W
2026/08/12 22:45:42.957, 9 %, 1660 MiB, 44.16 W
2026/08/12 22:45:43.961, 38 %, 1660 MiB, 30.67 W
2026/08/12 22:45:44.962, 37 %, 1660 MiB, 23.72 W
2026/08/12 22:45:45.963, 39 %, 1660 MiB, 23.69 W
2026/08/12 22:45:46.964, 20 %, 1660 MiB, 27.72 W
2026/08/12 22:45:47.965, 8 %, 1660 MiB, 29.38 W
2026/08/12 22:45:48.966, 20 %, 1660 MiB, 22.70 W
2026/08/12 22:45:49.967, 41 %, 1531 MiB, 21.36 W
2026/08/12 22:45:50.970, 40 %, 1531 MiB, 21.47 W
2026/08/12 22:45:51.973, 41 %, 1624 MiB, 21.40 W
2026/08/12 22:45:52.974, 14 %, 1660 MiB, 36.24 W
2026/08/12 22:45:53.975, 12 %, 1660 MiB, 45.11 W
2026/08/12 22:45:54.976, 12 %, 1660 MiB, 44.98 W
2026/08/12 22:45:55.977, 9 %, 1660 MiB, 44.66 W
2026/08/12 22:45:56.978, 10 %, 1660 MiB, 44.47 W
2026/08/12 22:45:57.979, 10 %, 1660 MiB, 44.76 W
2026/08/12 22:45:58.980, 10 %, 1664 MiB, 44.66 W
2026/08/12 22:45:59.981, 39 %, 1668 MiB, 32.51 W
2026/08/12 22:46:00.982, 18 %, 1672 MiB, 25.73 W
2026/08/12 22:46:01.984, 25 %, 1671 MiB, 30.21 W
2026/08/12 22:46:02.985, 18 %, 1671 MiB, 25.70 W
2026/08/12 22:46:03.987, 21 %, 1670 MiB, 21.54 W
2026/08/12 22:46:04.990, 35 %, 1670 MiB, 21.62 W
2026/08/12 22:46:05.993, 24 %, 1537 MiB, 21.69 W
2026/08/12 22:46:06.993, 3 %, 1536 MiB, 41.28 W
2026/08/12 22:46:07.998, 3 %, 1537 MiB, 43.28 W
2026/08/12 22:46:09.000, 2 %, 1538 MiB, 43.04 W
2026/08/12 22:46:10.001, 10 %, 1538 MiB, 29.94 W
2026/08/12 22:46:11.006, 18 %, 1538 MiB, 22.39 W
2026/08/12 22:46:12.009, 24 %, 1538 MiB, 22.28 W
2026/08/12 22:46:13.013, 38 %, 1539 MiB, 21.87 W
2026/08/12 22:46:14.017, 38 %, 1536 MiB, 21.75 W
2026/08/12 22:46:15.018, 2 %, 1551 MiB, 29.81 W
2026/08/12 22:46:16.021, 2 %, 1551 MiB, 43.00 W
2026/08/12 22:46:17.024, 1 %, 1562 MiB, 42.44 W
2026/08/12 22:46:18.028, 2 %, 1562 MiB, 42.27 W
2026/08/12 22:46:19.029, 8 %, 1557 MiB, 29.44 W
2026/08/12 22:46:20.032, 19 %, 1550 MiB, 21.47 W
2026/08/12 22:46:21.040, 21 %, 1553 MiB, 20.99 W
2026/08/12 22:46:22.043, 19 %, 1540 MiB, 20.27 W
2026/08/12 22:46:23.047, 18 %, 1540 MiB, 20.03 W
2026/08/12 22:46:24.047, 24 %, 1540 MiB, 20.33 W
2026/08/12 22:46:25.050, 35 %, 1542 MiB, 20.64 W
2026/08/12 22:46:26.051, 32 %, 1541 MiB, 20.81 W
2026/08/12 22:46:27.054, 35 %, 1540 MiB, 20.82 W
